title,artist,album,cover,file
Dona do Meu Pensamento,Charlie Brown Jr.,Camisa 10 joga bola até na chuva,camisa_10_joga_bola_ate_na_chuva.jpeg,dona_do_meu_pensamento.mp3
Pontes Indestrutíveis,Charlie Brown Jr.,"Ritmo, Ritual E Responsa",ritmo_ritual_e_responsa.jpeg,pontes_indestrutiveis.mp3
Me Encontra,Charlie Brown Jr.,Camisa 10 joga bola até na chuva,camisa_10_joga_bola_ate_na_chuva.jpeg,me_encontra.mp3
Não Viva Em Vão,Charlie Brown Jr.,"Ritmo, Ritual E Responsa",ritmo_ritual_e_responsa.jpeg,nao_viva_em_vao.mp3
Tudo Que Ela Gosta De Escutar,Charlie Brown Jr.,Transpiração Continua Prolongada,transpiracao_continua_prolongada.jpeg,tudo_que_ela_gosta_de_escutar.mp3
Te Levar Daqui,Charlie Brown Jr.,"Preço Curto, Prazo Longo",preco_curto_prazo_longo.jpeg,te_levar_daqui.mp3
Zóio De Lula,Charlie Brown Jr.,"Preço Curto, Prazo Longo",preco_curto_prazo_longo.jpeg,zoio_de_lula.mp3
Tamo Aí Na Atividade,Charlie Brown Jr.,Tamo Ai Na Atividade,tamo_ai_na_atividade.jpeg,tamo_ai_na_atividade.mp3
Só Por Uma Noite,Charlie Brown Jr.,Bocas Ordinárias,bocas_ordinarias.jpeg,so_por_uma_noite.mp3
Meu Novo Mundo,Charlie Brown Jr.,La Familia 013,la_familia_013.jpeg,meu_novo_mundo.mp3
Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),Charlie Brown Jr.,Imunidade Musical,imunidade_musical.jpeg,ela_vai_voltar_todos_os_defeitos_de_uma_mulher_perfeita.mp3
Longe De Você,Charlie Brown Jr.,Tamo Ai Na Atividade,tamo_ai_na_atividade.jpeg,longe_de_voce.mp3
Lugar Ao Sol,Charlie Brown Jr.,100% Charlie Brown Jr - Abalando A Sua Fábrica,100_charlie_brown_jr__abalando_a_sua_fabrica.jpeg,lugar_ao_sol.mp3
Senhor Do Tempo,Charlie Brown Jr.,Imunidade Musical,imunidade_musical.jpeg,senhor_do_tempo.mp3
Lutar Pelo Que É Meu,Charlie Brown Jr.,Imunidade Musical,imunidade_musical.jpeg,lutar_pelo_que_e_meu.mp3
"Dias De Luta, Dias De Gloria",Charlie Brown Jr.,Imunidade Musical,imunidade_musical.jpeg,dias_de_luta_dias_de_gloria.mp3
Céu Azul,Charlie Brown Jr.,Música Popular Caiçara: Edição Luxo (Ao Vivo),musica_popular_caicara_edicao_luxo_ao_vivo.jpeg,ceu_azul.mp3
Só Os Loucos Sabem,Charlie Brown Jr.,Camisa 10 joga bola até na chuva,camisa_10_joga_bola_ate_na_chuva.jpeg,so_os_loucos_sabem.mp3
Como Tudo Deve Ser,Charlie Brown Jr.,100% Charlie Brown Jr - Abalando A Sua Fábrica,100_charlie_brown_jr__abalando_a_sua_fabrica.jpeg,como_tudo_deve_ser.mp3
