title,artist,album,cover,file,collection_id
Come Around Me,Justin Bieber,Changes,changes.jpeg,come_around_me.mp3,justin_bieber
Hold On,Justin Bieber,Justice,justice.jpeg,hold_on.mp3,justin_bieber
Lonely,Justin Bieber,Lonely,lonely.jpeg,lonely.mp3,justin_bieber
Holy,"Justin Bieber, Chance The Rapper",Holy,holy.jpeg,holy.mp3,justin_bieber
Ghost,Justin Bieber,Justice,justice.jpeg,ghost.mp3,justin_bieber
Die For You,"Justin Bieber, Dominic Fike",Justice,justice.jpeg,die_for_you.mp3,justin_bieber
Anyone,Justin Bieber,Justice,justice.jpeg,anyone.mp3,justin_bieber
Intentions,"Justin Bieber, Quavo",Intentions,intentions.jpeg,intentions.mp3,justin_bieber
GO BABY,Justin Bieber,SWAG,swag.jpeg,go_baby.mp3,justin_bieber
Stay,"The Kid LAROI, Justin Bieber",F*ck Love 3: Over You,fck_love_3_over_you.jpeg,stay.mp3,justin_bieber
Yummy,Justin Bieber,Changes,changes.jpeg,yummy.mp3,justin_bieber
I'll Show You,Justin Bieber,Purpose (Deluxe),purpose_deluxe.jpeg,ill_show_you.mp3,justin_bieber
Loved By You,"Justin Bieber, Burna Boy",Justice,justice.jpeg,loved_by_you.mp3,justin_bieber
What Do You Mean?,Justin Bieber,Purpose,purpose_deluxe.jpeg,what_do_you_mean.mp3,justin_bieber
Peaches,"Justin Bieber, Daniel Caesar, Giveon",Justice,justice.jpeg,peaches.mp3,justin_bieber
Beauty And A Beat,"Justin Bieber, Nicki Minaj",Believe (Deluxe Edition),believe_deluxe_edition.jpeg,beauty_and_a_beat.mp3,justin_bieber
Sorry,Justin Bieber,Purpose,purpose_deluxe.jpeg,sorry.mp3,justin_bieber
Love You Different,Justin Bieber,Justice,justice.jpeg,love_you_different.mp3,justin_bieber
Confident,Justin Bieber,Journals,journals.jpeg,confident.mp3,justin_bieber
Somebody to Love,Justin Bieber,My World 2.0,my_world_20.jpeg,somebody_to_love.mp3,justin_bieber
Baby,"Justin Bieber, Ludacris",My World 2.0,my_world_20.jpeg,baby.mp3,justin_bieber
One Time,Justin Bieber,My World,my_world.jpeg,one_time.mp3,justin_bieber
Friends,"Justin Bieber, BloodPop",Friends,friends.jpeg,friends.mp3,justin_bieber
Never Say Never,"Justin Bieber, Jaden",Never Say Never: The Remixes,never_say_never__the_remixes.jpeg,never_say_never.mp3,justin_bieber
Company,Justin Bieber,Purpose (Deluxe),purpose_deluxe.jpeg,company.mp3,justin_bieber
One Less Lonely Girl,Justin Bieber,My World,my_world.jpeg,one_less_lonely_girl.mp3,justin_bieber
That Should Be Me,Justin Bieber,My World 2.0,my_world_20.jpeg,that_should_be_me.mp3,justin_bieber
Off My Face,Justin Bieber,Justice,justice.jpeg,off_my_face.mp3,justin_bieber
Love Yourself,Justin Bieber,Purpose (Deluxe),purpose_deluxe.jpeg,love_yourself.mp3,justin_bieber
