title,artist,album,cover,file,collection_id
Galanteador,Os Barões Da Pisadinha,Batom de Ouro,batom_de_ouro.jpeg,galanteador.mp3,os_baroes_da_pisadinha
Já Que Me Ensinou a Beber,Os Barões Da Pisadinha,Batom de Ouro,batom_de_ouro.jpeg,ja_que_me_ensinou_a_beber.mp3,os_baroes_da_pisadinha
Quem Me Dera,Os Barões Da Pisadinha,Agora Eu Pego Mesmo,agora_eu_pego_mesmo.jpeg,quem_me_dera.mp3,os_baroes_da_pisadinha
Oi E Tchau,Os Barões Da Pisadinha,Batom de Ouro,batom_de_ouro.jpeg,oi_e_tchau.mp3,os_baroes_da_pisadinha
Eu Acho Que Não,Os Barões Da Pisadinha,Batom de Ouro,batom_de_ouro.jpeg,eu_acho_que_nao.mp3,os_baroes_da_pisadinha
Quero Sentir De Novo,Os Barões Da Pisadinha,As Melhores 2018,as_melhores_2018.jpeg,quero_sentir_de_novo.mp3,os_baroes_da_pisadinha
Tá Rocheda,Os Barões Da Pisadinha,As Melhores 2018,as_melhores_2018.jpeg,ta_rocheda.mp3,os_baroes_da_pisadinha
Bebê Vem Me Procurar,Os Barões Da Pisadinha,Batom de Ouro,batom_de_ouro.jpeg,bebe_vem_me_procurar.mp3,os_baroes_da_pisadinha
Nunca Vai Ser Eu,Os Barões Da Pisadinha,As Melhores 2018,as_melhores_2018.jpeg,nunca_vai_ser_eu.mp3,os_baroes_da_pisadinha
Cabeça Voando,Os Barões Da Pisadinha,Agora Eu Pego Mesmo,agora_eu_pego_mesmo.jpeg,cabeca_voando.mp3,os_baroes_da_pisadinha
