title,artist,album,cover,file,collection_id
Obsessão,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,obsessao.mp3,tarcisio_do_acordeon
Meu Sonho,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.jpeg,meu_sonho.mp3,tarcisio_do_acordeon
Jogo do Desprezo,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,jogo_do_desprezo.mp3,tarcisio_do_acordeon
Proteção de Tela,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.jpeg,protecao_de_tela.mp3,tarcisio_do_acordeon
Eu Gosto É De Problema,Tarcísio do Acordeon,Meu Sonho - Pt. 3,meu_sonho__pt_3.jpeg,eu_gosto_e_de_problema.mp3,tarcisio_do_acordeon
Eu Tô Aí,Tarcísio do Acordeon,Meu Sonho - Pt. 3,meu_sonho__pt_3.jpeg,eu_to_ai.mp3,tarcisio_do_acordeon
Beijo Foda,Tarcísio do Acordeon,Só Resta Beber,so_resta_beber.jpeg,beijo_foda.mp3,tarcisio_do_acordeon
Imaturidade,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.jpeg,imaturidade.mp3,tarcisio_do_acordeon
Eu Tenho a Senha,Tarcísio do Acordeon,Meu Sonho - Parte 1,meu_sonho__parte_1.jpeg,eu_tenho_a_senha.mp3,tarcisio_do_acordeon
Coleção de Otário,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.jpeg,colecao_de_otario.mp3,tarcisio_do_acordeon
Nêga,"Tarcísio do Acordeon, Vitor Fernandes",A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,nega.mp3,tarcisio_do_acordeon
Não Sou Perfeito,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,nao_sou_perfeito.mp3,tarcisio_do_acordeon
Pra Não te Perder,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,pra_nao_te_perder.mp3,tarcisio_do_acordeon
Lembrei de Você,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,lembrei_de_voce.mp3,tarcisio_do_acordeon
Aprendi a Maltratar,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,aprendi_a_maltratar.mp3,tarcisio_do_acordeon
Me Esqueça Se Puder,Tarcísio do Acordeon,Meu Sonho - Pt. 3,meu_sonho__pt_3.jpeg,me_esqueca_se_puder.mp3,tarcisio_do_acordeon
Quatro Semanas de Amor,Tarcísio do Acordeon,Só Resta Beber,so_resta_beber.jpeg,quatro_semanas_de_amor.mp3,tarcisio_do_acordeon
Medley Pagode,Tarcísio do Acordeon,Tome Forró,tome_forro.jpeg,medley_pagode.mp3,tarcisio_do_acordeon
Vaqueiro Ferido,Tarcísio do Acordeon,Meu Sonho - Parte 1,meu_sonho__parte_1.jpeg,vaqueiro_ferido.mp3,tarcisio_do_acordeon
Pra Vaquejada Eu Vou,Tarcísio do Acordeon,Pra Vaquejada Eu Vou,pra_vaquejada_eu_vou.jpeg,pra_vaquejada_eu_vou.mp3,tarcisio_do_acordeon
Literalmente,Tarcísio do Acordeon,Tome Forró,tome_forro.jpeg,literalmente.mp3,tarcisio_do_acordeon
Minha História,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.jpeg,minha_historia.mp3,tarcisio_do_acordeon
Hoje Dói,Tarcísio do Acordeon,Diferente dos Iguais,diferente_dos_iguais.jpeg,hoje_doi.mp3,tarcisio_do_acordeon
Deixa Eu Te Superar,Tarcísio do Acordeon,Deixa Eu Te Superar,deixa_eu_te_superar.jpeg,deixa_eu_te_superar.mp3,tarcisio_do_acordeon
Toque Carinhoso,"Vitor Fernandes, Tarcísio do Acordeon",Toque Carinhoso,toque_carinhoso.jpeg,toque_carinhoso.mp3,tarcisio_do_acordeon
