title,artist,album,cover,file,collection_id
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.jpeg,cant_feel_my_face.mp3,the_weeknd
In Your Eyes,The Weeknd,After Hours,after_hours.jpeg,in_your_eyes.mp3,the_weeknd
Is There Someone Else?,The Weeknd,Dawn FM,dawn_fm.jpeg,is_there_someone_else.mp3,the_weeknd
Save Your Tears,The Weeknd,After Hours,after_hours.jpeg,save_your_tears.mp3,the_weeknd
Save Your Tears (Remix),"The Weeknd, Ariana Grande",After Hours,save_your_tears_remix.jpeg,save_your_tears_remix.mp3,the_weeknd
Die For You (Remix),"The Weeknd, Ariana Grande",Starboy,die_for_you_remix.jpeg,die_for_you_remix.mp3,the_weeknd
Out of Time,The Weeknd,Dawn FM,dawn_fm.jpeg,out_of_time.mp3,the_weeknd
In The Night,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.jpeg,in_the_night.mp3,the_weeknd
Starboy,The Weeknd,Starboy,starboy.jpeg,starboy.mp3,the_weeknd
Heartless,The Weeknd,After Hours,after_hours.jpeg,heartless.mp3,the_weeknd
Creepin',The Weeknd,Heroes & Villains,heroes__villains.jpeg,creepin.mp3,the_weeknd
Die For You,The Weeknd,Starboy,starboy.jpeg,die_for_you.mp3,the_weeknd
I Was Never There,The Weeknd,My Dear Melancholy,my_dear_melancholy.jpeg,i_was_never_there.mp3,the_weeknd
Blinding Lights,The Weeknd,After Hours,after_hours.jpeg,blinding_lights.mp3,the_weeknd
I Feel It Coming,The Weeknd,Starboy,starboy.jpeg,i_feel_it_coming.mp3,the_weeknd
The Hills,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.jpeg,the_hills.mp3,the_weeknd
After Hours,The Weeknd,After Hours,after_hours.jpeg,after_hours.mp3,the_weeknd
Call Out My Name,The Weeknd,My Dear Melancholy,my_dear_melancholy.jpeg,call_out_my_name.mp3,the_weeknd
