title,artist,album,cover,file,collection_id
Letícia,Zé Vaqueiro,O Original,o_original.jpeg,leticia.mp3,ze_vaqueiro
Foi Amor,Zé Vaqueiro,O Original,o_original.jpeg,foi_amor.mp3,ze_vaqueiro
Cangote,Zé Vaqueiro,O Original,o_original.jpeg,cangote.mp3,ze_vaqueiro
Meu Mel,Zé Vaqueiro,O Original,o_original.jpeg,meu_mel.mp3,ze_vaqueiro
Meia Noite,Zé Vaqueiro,Meia Noite,meia_noite.jpeg,meia_noite.mp3,ze_vaqueiro
Metade de um Abraço,Zé Vaqueiro,Metade de um Abraço,metade_de_um_abraco.jpeg,metade_de_um_abraco.mp3,ze_vaqueiro
Volta Comigo BB,Zé Vaqueiro,Volta Comigo BB,volta_comigo_bb.jpeg,volta_comigo.mp3,ze_vaqueiro
Lembrei de Você,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,lembrei_de_voce_2.mp3,ze_vaqueiro
Pode Ir,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,pode_ir.mp3,ze_vaqueiro
Decida,Zé Vaqueiro,O Original,o_original.jpeg,decida.mp3,ze_vaqueiro
Confidencial,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,confidencial.mp3,ze_vaqueiro
Eu Tenho Medo,Zé Vaqueiro,O Original,o_original.jpeg,eu_tenho_medo.mp3,ze_vaqueiro
Se Você Se Entregar,Zé Vaqueiro,Vem Me Amar,vem_me_amar.jpeg,se_voce_se_entregar.mp3,ze_vaqueiro
Seu Desprezo,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,seu_desprezo.mp3,ze_vaqueiro
Minha Deusa,Zé Vaqueiro,Indícios,indicios.jpeg,minha_deusa.mp3,ze_vaqueiro
Cena de Amor,"Brisa Star, Zé Vaqueiro",Cena de Amor,cena_de_amor.jpeg,cena_de_amor.mp3,ze_vaqueiro
