title,artist,album,cover,file,collection_id
Invisível,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.jpeg,invisivel.mp3,jorge_vercillo
Ela Une Todas As Coisas,Jorge Vercillo,Todos Nós Somos Um,todos_nos_somos_um.jpeg,ela_une_todas_as_coisas.mp3,jorge_vercillo
Final Feliz,"Jorge Vercillo, Djavan",Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.jpeg,final_feliz.mp3,jorge_vercillo
Homem-Aranha,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.jpeg,homem_aranha.mp3,jorge_vercillo
Monalisa,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.jpeg,monalisa.mp3,jorge_vercillo
O Reino Das Águas Claras,Jorge Vercillo,Elo,elo.jpeg,o_reino_das_aguas_claras.mp3,jorge_vercillo
Sensível Demais,Jorge Vercillo,Como Diria Blavatsky,como_diria_blavatsky.jpeg,sensivel_demais.mp3,jorge_vercillo
Endereço,Jorge Vercillo,Endereço,endereco.jpeg,endereco.mp3,jorge_vercillo
Que Nem Maré,Jorge Vercillo,Elo,elo.jpeg,que_nem_mare.mp3,jorge_vercillo
Melhor Lugar,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.jpeg,melhor_lugar.mp3,jorge_vercillo
