title,artist,album,cover,file,collection_id
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),hybrid_theory_bonus_edition.jpeg,one_step_closer.mp3,linkin_park
Papercut,Linkin Park,Hybrid Theory (Bonus Edition),hybrid_theory_bonus_edition.jpeg,papercut.mp3,linkin_park
In the End,Linkin Park,Hybrid Theory (Bonus Edition),hybrid_theory_bonus_edition.jpeg,in_the_end.mp3,linkin_park
Pushing Me Away,Linkin Park,Hybrid Theory (Bonus Edition),hybrid_theory_bonus_edition.jpeg,pushing_me_away.mp3,linkin_park
Faint,Linkin Park,Meteora (Bonus Edition),meteora_bonus_edition.jpeg,faint.mp3,linkin_park
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),hybrid_theory_bonus_edition.jpeg,crawling.mp3,linkin_park
Lying from You,Linkin Park,Meteora (Bonus Edition),meteora_bonus_edition.jpeg,lying_from_you.mp3,linkin_park
From the Inside,Linkin Park,Meteora (Bonus Edition),meteora_bonus_edition.jpeg,from_the_inside.mp3,linkin_park
Runaway,Linkin Park,Hybrid Theory (Bonus Edition),hybrid_theory_bonus_edition.jpeg,runaway.mp3,linkin_park
With You,Linkin Park,Hybrid Theory (Bonus Edition),hybrid_theory_bonus_edition.jpeg,with_you.mp3,linkin_park
Somewhere I Belong,Linkin Park,Meteora (Bonus Edition),meteora_bonus_edition.jpeg,somewhere_i_belong.mp3,linkin_park
Numb,Linkin Park,Meteora,meteora.jpeg,numb.mp3,linkin_park
What I've Done,Linkin Park,Minutes to Midnight,minutes_to_midnight.jpeg,what_ive_done.mp3,linkin_park
Given Up,Linkin Park,Minutes to Midnight,minutes_to_midnight.jpeg,given_up.mp3,linkin_park
Breaking the Habit,Linkin Park,Meteora (Bonus Edition),meteora_bonus_edition.jpeg,breaking_the_habit.mp3,linkin_park
Leave Out All The Rest,Linkin Park,Minutes to Midnight,minutes_to_midnight.jpeg,leave_out_all_the_rest.mp3,linkin_park
Shadow of the Day,Linkin Park,Minutes to Midnight,minutes_to_midnight.jpeg,shadow_of_the_day.mp3,linkin_park
BURN IT DOWN,Linkin Park,LIVING THINGS,living_things.jpeg,burn_it_down.mp3,linkin_park
Lost,Linkin Park,LIVING THINGS,living_things.jpeg,lost.mp3,linkin_park
Waiting for the End,Linkin Park,A Thousand Suns,a_thousand_suns.jpeg,waiting_for_the_end.mp3,linkin_park
One More Light,Linkin Park,One More Light,one_more_light.jpeg,one_more_light.mp3,linkin_park
