title,artist,album,cover,file
Os Cegos do Castelo,Nando Reis,"Nando Reis - Voz e Violão - No Recreio, Vol. 1 (Ao Vivo)",nando_reis__voz_e_violao__no_recreio_vol_1_ao_vivo.jpeg,os_cegos_do_castelo.mp3
N,Nando Reis,Sim E Não,sim_e_nao.jpeg,n.mp3
Por Onde Andei,Nando Reis,"Nando Reis - Voz e Violão - No Recreio, Vol. 1 (Ao Vivo)",nando_reis__voz_e_violao__no_recreio_vol_1_ao_vivo.jpeg,por_onde_andei.mp3
Nos Seus Olhos,Nando Reis,Nos Seus Olhos,nos_seus_olhos.jpeg,nos_seus_olhos.mp3
Lamento Realengo,Nando Reis,"Nando Reis - Voz e Violão - No Recreio, Vol. 1 (Ao Vivo)",nando_reis__voz_e_violao__no_recreio_vol_1_ao_vivo.jpeg,lamento_realengo.mp3
Luz dos Olhos,Nando Reis,"A Letra ""A""",a_letra_a.jpeg,luz_dos_olhos.mp3
Dentro do Mesmo Time,Nando Reis,"Nando Reis - Voz e Violão - No Recreio, Vol. 1 (Ao Vivo)",nando_reis__voz_e_violao__no_recreio_vol_1_ao_vivo.jpeg,dentro_do_mesmo_time.mp3
Sei,Nando Reis,Sei,sei.jpeg,sei.mp3
As Coisas Tão Mais Lindas,Nando Reis,Nando Reis - Voz e Violão - No Recreio - Vol. 1 (Ao Vivo) [Álbum Comentado],nando_reis__voz_e_violao__no_recreio__vol_1_ao_vivo_album_comentado.jpeg,as_coisas_tao_mais_lindas.mp3
Pra Você Guardei o Amor,Nando Reis,Dres,dres.jpeg,pra_voce_guardei_o_amor.mp3
