title,artist,album,cover,file
Porque Homem Não Chora,Pablo,É Só Dizer Que Sim,e_so_dizer_que_sim.jpeg,porque_homem_nao_chora.mp3
Mega Sena,Pablo,Mega Sena,mega_sena.jpeg,mega_sena.mp3
Fui Fiel,Pablo,Êee Paixão (A Voz Romântica),eee_paixao_a_voz_romantica.jpeg,fui_fiel.mp3
Quase Me Chamou de Amor,Pablo,Êee Paixão (A Voz Romântica),eee_paixao_a_voz_romantica.jpeg,quase_me_chamou_de_amor.mp3
"Bilu, Bilu",Pablo,É Só Dizer Que Sim,e_so_dizer_que_sim.jpeg,bilu_bilu.mp3
Embolou,Pablo,É Só Dizer Que Sim,e_so_dizer_que_sim.jpeg,embolou.mp3
Vou Te Amar,Pablo,Êee...Paixão!,eeepaixao.jpeg,vou_te_amar.mp3
Depois Não Reclama,Pablo,Desculpe Aí,desculpe_ai.jpeg,depois_nao_reclama.mp3
Displicente,Pablo,Desculpe Aí,desculpe_ai.jpeg,displicente.mp3
Desculpe Aí,Pablo,Desculpe Aí,desculpe_ai.jpeg,desculpe_ai.mp3
Imprevistos,Pablo,Desculpe Aí,desculpe_ai.jpeg,imprevistos.mp3
Ta Fazendo Falta,"Pablo, Solange Almeida",É Só Dizer Que Sim,e_so_dizer_que_sim.jpeg,ta_fazendo_falta.mp3
Ao Sabor do Vento,Pablo,"Pablo 20 ANOS, Pt.1 (Ao Vivo)",pablo_20_anos_pt1_ao_vivo.jpeg,ao_sabor_do_vento.mp3
A Casa ao Lado,Pablo,"Pablo 20 ANOS, Pt.2 (Ao Vivo)",pablo_20_anos_pt2_ao_vivo.jpeg,a_casa_ao_lado.mp3
Desapeguei,Pablo,"Pablo 20 ANOS, Pt.2 (Ao Vivo)",pablo_20_anos_pt2_ao_vivo.jpeg,desapeguei.mp3
A Cena,Pablo,Desculpe Aí,desculpe_ai.jpeg,a_cena.mp3
Eu Mudo,Pablo,Desculpe Aí,desculpe_ai.jpeg,eu_mudo.mp3
Nível de Carência,Pablo,Desculpe Aí,desculpe_ai.jpeg,nivel_de_carencia.mp3
Deixa de Caô,Pablo,Deixa de caô,deixa_de_cao.jpeg,deixa_de_cao.mp3
Nunca mais,Pablo,Deixa de caô,deixa_de_cao.jpeg,nunca_mais.mp3
Você não quer me ouvir,Pablo,Deixa de caô,deixa_de_cao.jpeg,voce_nao_quer_me_ouvir.mp3
Agora,Pablo,É Só Dizer Que Sim,e_so_dizer_que_sim.jpeg,agora.mp3
Sim,Pablo,É Só Dizer Que Sim,e_so_dizer_que_sim.jpeg,sim.mp3
Tomara,Pablo,Êee Paixão (A Voz Romântica),eee_paixao_a_voz_romantica.jpeg,tomara.mp3
Melhor Eu Ir,Pablo,A Voz Romântica,a_voz_romantica.jpeg,melhor_eu_ir.mp3
Até Que Durou,Pablo,A Voz Romântica,a_voz_romantica.jpeg,ate_que_durou.mp3
