title,artist,album,cover,file,collection_id
Amor de Colchão,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,amor_de_colchao.mp3,renno
A Pior Parte,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,a_pior_parte.mp3,renno
3 Dias,Renno,Piseiro Summer Deluxe,piseiro_summer_deluxe.jpeg,3_dias.mp3,renno
Cartão de Visita,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,cartao_de_visita.mp3,renno
Só Pra Me Machucar,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,so_pra_me_machucar.mp3,renno
Quem Perdeu que Sofra,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,quem_perdeu_que_sofra.mp3,renno
Valeu Ela,Renno,"Pra Dançar, Curtir e Beber: Em Casa",pra_dancar_curtir_e_beber_em_casa.jpeg,valeu_ela.mp3,renno
Evita esse Sofrimento,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,evita_esse_sofrimento.mp3,renno
Valeu Cama,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,valeu_cama.mp3,renno
A Culpa é Dela,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,a_culpa_e_dela.mp3,renno
Sexta-feira,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,sexta_feira.mp3,renno
Minha Pequena,Renno,Piseiro Summer Deluxe,piseiro_summer_deluxe.jpeg,minha_pequena.mp3,renno
Caras e Bocas,Renno,"Pra dançar, curtir e beber",pra_dancar_curtir_e_beber.jpeg,caras_e_bocas.mp3,renno
Ou a Vaquejada ou Eu,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,ou_a_vaquejada_ou_eu.mp3,renno
Erro Gostoso,Renno,"Pra dançar, curtir e beber",pra_dancar_curtir_e_beber.jpeg,erro_gostoso.mp3,renno
Assume ou Solta,Renno,"Pra dançar, curtir e beber",pra_dancar_curtir_e_beber.jpeg,assume_ou_solta.mp3,renno
Resumo,Renno,Resumo,resumo.jpeg,resumo.mp3,renno
Fica com Eu,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,fica_com_eu.mp3,renno
Detalhe Pendente,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,detalhe_pendente.mp3,renno
Love Disfarçado,Renno,Pra Sofrer e Beber,pra_sofrer_e_beber.jpeg,love_disfarcado.mp3,renno
