title,artist,album,cover,file
Blinding Lights,The Weeknd,After Hours,after_hours.jpeg,blinding_lights.mp3
Heartless,The Weeknd,After Hours,after_hours.jpeg,heartless.mp3
Starboy,The Weeknd,Starboy,starboy.jpeg,starboy.mp3
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.jpeg,cant_feel_my_face.mp3
In The Night,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.jpeg,in_the_night.mp3
In Your Eyes,The Weeknd,After Hours,after_hours.jpeg,in_your_eyes.mp3
I Feel It Coming,The Weeknd,Starboy,starboy.jpeg,i_feel_it_coming.mp3
Out of Time,The Weeknd,Dawn FM,dawn_fm.jpeg,out_of_time.mp3
Save Your Tears,The Weeknd,After Hours,after_hours.jpeg,save_your_tears.mp3
Save Your Tears (Remix),"The Weeknd, Ariana Grande",After Hours,save_your_tears_remix.jpeg,save_your_tears_remix.mp3
Is There Someone Else?,The Weeknd,Dawn FM,dawn_fm.jpeg,is_there_someone_else.mp3
Die For You,The Weeknd,Starboy,starboy.jpeg,die_for_you.mp3
Die For You (Remix),"The Weeknd, Ariana Grande",Starboy,die_for_you_remix.jpeg,die_for_you_remix.mp3
After Hours,The Weeknd,After Hours,after_hours.jpeg,after_hours.mp3
I Was Never There,The Weeknd,My Dear Melancholy,my_dear_melancholy.jpeg,i_was_never_there.mp3
Call Out My Name,The Weeknd,My Dear Melancholy,my_dear_melancholy.jpeg,call_out_my_name.mp3
The Hills,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.jpeg,the_hills.mp3
Creepin',The Weeknd,Heroes & Villains,heroes__villains.jpeg,creepin.mp3
