title,artist,album,cover,file
Letícia,Zé Vaqueiro,O Original,o_original.jpeg,leticia.mp3
Foi Amor,Zé Vaqueiro,O Original,o_original.jpeg,foi_amor.mp3
Cangote,Zé Vaqueiro,O Original,o_original.jpeg,cangote.mp3
Meu Mel,Zé Vaqueiro,O Original,o_original.jpeg,meu_mel.mp3
Meia Noite,Zé Vaqueiro,Meia Noite,meia_noite.jpeg,meia_noite.mp3
Metade de um Abraço,Zé Vaqueiro,Metade de um Abraço,metade_de_um_abraco.jpeg,metade_de_um_abraco.mp3
Volta Comigo BB,Zé Vaqueiro,Volta Comigo BB,volta_comigo_bb.jpeg,volta_comigo.mp3
Lembrei de Você,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,lembrei_de_voce_2.mp3
Pode Ir,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,pode_ir.mp3
Decida,Zé Vaqueiro,O Original,o_original.jpeg,decida.mp3
Confidencial,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,confidencial.mp3
Eu Tenho Medo,Zé Vaqueiro,O Original,o_original.jpeg,eu_tenho_medo.mp3
Se Você Se Entregar,Zé Vaqueiro,Vem Me Amar,vem_me_amar.jpeg,se_voce_se_entregar.mp3
Seu Desprezo,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.jpeg,seu_desprezo.mp3
Minha Deusa,Zé Vaqueiro,Indícios,indicios.jpeg,minha_deusa.mp3
Cena de Amor,"Brisa Star, Zé Vaqueiro",Cena de Amor,cena_de_amor.jpeg,cena_de_amor.mp3
